time,speed_ms,dir_from_deg,u,v
2019-05-12 22:48:00,5.2,52.0,-4.097655918754955,-3.201439671693422
2019-05-12 22:54:00,5.4,59.0,-4.628703423791405,-2.7812056045142937
2019-05-12 23:00:00,4.8,51.0,-3.7303006149934586,-3.0207378770392217
2019-05-12 23:06:00,4.8,53.0,-3.8334504482270053,-2.8887121111298315
2019-05-12 23:12:00,4.4,59.0,-3.7715361230892936,-2.2661675296042394
2019-05-12 23:18:00,4.4,65.0,-3.987754262961261,-1.8595203516590764
2019-05-12 23:24:00,4.0,64.0,-3.5951761851966673,-1.753484587156311
2019-05-12 23:30:00,4.1,61.0,-3.5859407992715226,-1.987719443009981
2019-05-12 23:36:00,4.0,57.0,-3.3546822717816966,-2.178556140060108
2019-05-12 23:42:00,3.4,53.0,-2.7153607341607957,-2.0461710787169642
2019-05-12 23:48:00,3.5,68.0,-3.2451434909837555,-1.311123076955693
2019-05-12 23:54:00,3.6,65.0,-3.2627080333319407,-1.521425742266517
2019-05-13 00:00:00,3.5,72.0,-3.3286978070330373,-1.0815594803123165
2019-05-13 00:06:00,3.1,59.0,-2.6572186321765474,-1.5966180322211687
2019-05-13 00:12:00,3.7,52.0,-2.915639788344872,-2.277947458704935
2019-05-13 00:18:00,3.5,58.0,-2.9681683365474907,-1.8547174248162175
2019-05-13 00:24:00,3.5,60.0,-3.0310889132455348,-1.7500000000000016
2019-05-13 00:30:00,3.4,57.0,-2.851479931014442,-1.8517727190510918
2019-05-13 00:36:00,3.6,59.0,-3.0858022825276037,-1.8541370696761958
2019-05-13 00:42:00,3.4,51.0,-2.6422962689536997,-2.139689329569449
2019-05-13 00:48:00,3.3,60.0,-2.8578838324886466,-1.6500000000000015
2019-05-13 00:54:00,3.4,52.0,-2.6792365622628553,-2.0932490161072375
2019-05-13 01:00:00,2.9,46.0,-2.0860854209820885,-2.014509274331092
2019-05-13 01:06:00,2.0,29.0,-0.9696192404926739,-1.7492394142787917
2019-05-13 01:12:00,2.2,43.0,-1.5003963921374965,-1.6089781435621753
2019-05-13 01:18:00,2.6,47.0,-1.9015196242098433,-1.7731957361624964
2019-05-13 01:24:00,2.8,47.0,-2.047790364533677,-1.909595408174996
2019-05-13 01:30:00,2.3,34.0,-1.2861436779827173,-1.9067864168765958
2019-05-13 01:36:00,1.8,41.0,-1.1809062521829128,-1.3584772444009898
2019-05-13 01:42:00,1.8,44.0,-1.250385066826195,-1.294811640609572
2019-05-13 01:48:00,2.1,32.0,-1.11283045488973,-1.7809010019284948
2019-05-13 01:54:00,2.0,37.0,-1.2036300463040968,-1.5972710200945857
2019-05-13 02:00:00,2.1,43.0,-1.4321965561312466,-1.5358427734002582
2019-05-13 02:06:00,3.2,60.0,-2.7712812921102032,-1.6000000000000014
2019-05-13 02:12:00,3.3,54.0,-2.6697560814373262,-1.9396913325651617
2019-05-13 02:18:00,3.4,56.0,-2.8187277466871423,-1.9012558718005383
2019-05-13 02:24:00,3.7,60.0,-3.2042939940024224,-1.8500000000000016
2019-05-13 02:30:00,3.5,60.0,-3.0310889132455348,-1.7500000000000016
2019-05-13 02:36:00,3.8,55.0,-3.1127777682981677,-2.1795904581339762
2019-05-13 02:42:00,3.3,57.0,-2.7676128742198998,-1.7973088155495889
2019-05-13 02:48:00,3.9,57.0,-3.270815214987154,-2.1240922365586052
2019-05-13 02:54:00,3.9,53.0,-3.114678489184442,-2.347078590292988
2019-05-13 03:00:00,4.1,58.0,-3.476997194241346,-2.1726689833561403
2019-05-13 03:06:00,3.9,52.0,-3.0732419390662162,-2.4010797537700665
2019-05-13 03:12:00,3.9,52.0,-3.0732419390662162,-2.4010797537700665
2019-05-13 03:18:00,4.4,53.0,-3.5139962442080885,-2.6479861018690127
2019-05-13 03:24:00,4.6,53.0,-3.673723346217547,-2.768349106499422
2019-05-13 03:30:00,4.0,52.0,-3.1520430144268885,-2.4626459013026323
2019-05-13 03:36:00,4.0,53.0,-3.1945420401891713,-2.407260092608193
2019-05-13 03:42:00,3.7,51.0,-2.8754400573907914,-2.3284854468844003
2019-05-13 03:48:00,4.0,54.0,-3.2360679774997894,-2.351141009169893
2019-05-13 03:54:00,3.6,50.0,-2.7577599952283207,-2.314035394871542
2019-05-13 04:00:00,3.7,52.0,-2.915639788344872,-2.277947458704935
2019-05-13 04:06:00,4.4,50.0,-3.370595549723503,-2.828265482620774
2019-05-13 04:12:00,3.9,49.0,-2.943367362868811,-2.5586302130629783
2019-05-13 04:18:00,4.2,56.0,-3.481957804731176,-2.3486101945771356
2019-05-13 04:24:00,4.2,56.0,-3.481957804731176,-2.3486101945771356
2019-05-13 04:30:00,4.1,52.0,-3.2308440897875603,-2.524212048835198
2019-05-13 04:36:00,4.4,61.0,-3.848326711413342,-2.1331623290838824
2019-05-13 04:42:00,4.0,52.0,-3.1520430144268885,-2.4626459013026323
2019-05-13 04:48:00,3.9,43.0,-2.6597936042437436,-2.852279436314765
2019-05-13 04:54:00,4.8,51.0,-3.7303006149934586,-3.0207378770392217
2019-05-13 05:00:00,4.1,46.0,-2.9492931813884695,-2.8480993188818884
2019-05-13 05:06:00,3.6,40.0,-2.3140353948715413,-2.7577599952283207
2019-05-13 05:12:00,3.6,42.0,-2.40887018289189,-2.6753213717186193
2019-05-13 05:18:00,4.9,59.0,-4.20011977344035,-2.5236865670592667
2019-05-13 05:24:00,4.5,47.0,-3.291091657286267,-3.068992620281244
2019-05-13 05:30:00,4.6,44.0,-3.195428504111387,-3.3089630815577946
2019-05-13 05:36:00,5.0,44.0,-3.4732918522949863,-3.5966990016932554
2019-05-13 05:42:00,4.1,36.0,-2.409919534399139,-3.3169696769372843
2019-05-13 05:48:00,5.1,43.0,-3.4781916363187415,-3.72990387825777
